Insegna,Tipo via,Via,Civico,Codice via,Municipio,Accesso,Isolato,Presso,Forma commercio prevalente,Forma commercio secondaria,Forma vendita,Superficie somministrazione,Bar caffè,Bar gastronomici e simili,Biliardo,Bocce,Carte,Cibi cotti preconfezionati,Discoteche,Genere merceol.autorizz.sanit.,Giochi legge 388/2000,Mensa,Pizzeria,Prodotti di gastronomia,Ristorante,Spaccio bevande analcoliche,Tavola calda,Tavola fredda,Fast food,Osteria,Self service,Trattoria,context_type,IsAnomaly
Non specificata,LARGO,GIAMBELLINO,121,5395,6,accesso interno,158,Non specificato,somministrazione,Assente,self service,130.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,LARGO,MISSIONARI COMBONIANI,3,1716,9,accesso interno,0,Non specificato,somministrazione,Assente,self service,91.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZALE,F.LLI ZAVATTARI,12,6537,7,accesso esterno,205,italtel,somministrazione,Assente,self service,148.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZALE,LODI,3,4249,4,accesso interno,0,allianz s.p.a.,somministrazione,Assente,self service,146.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,company,False
Non specificata,PORTA,CUCCIA ENRICO,1,150,1,accesso interno,0,uffici mediobanca s.p.a.,somministrazione,Assente,self service,201.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,company,False
Non specificata,PIAZZA,AGRIPPA MARCO,12,5338,5,accesso interno,0,centro diurno per disabili,somministrazione,Assente,self service,30.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,CASERTA,6,1338,9,accesso interno,0,istituto di cultura e ling,somministrazione,Assente,self service,187.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,DELLA REPUBBLICA,17,1055,2,accesso interno,0,albergo principe di savoia,somministrazione,Assente,self service,168.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,FERRAVILLA EDOARDO,2,3125,3,accesso interno,184,Non specificato,somministrazione,Assente,self service,29.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,FILANGIERI GAETANO,2,6224,1,accesso interno,0,casa circondariale di mila,somministrazione,Assente,self service,301.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,MARTELLI FRANCO,003,1614,9,accesso interno,22,mensa siderotermica spa,somministrazione,Assente,self service,197.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,MONTE TITANO,9,2654,3,accesso interno,0,ditte convenzionate,somministrazione,Assente,self service,50.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,PIO XI,6,572,1,accesso interno,0,banca d'italia,somministrazione,Assente,self service,149.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,PIAZZA,TRENTO,1,4220,5,accesso interno,197,Non specificato,somministrazione,Assente,self service,400.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
Non specificata,VIA,ADRIATICO,8,1598,9,accesso interno,75,mensa casa di riposo,somministrazione,Assente,self service,45.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,other,False
